"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"richard coffey",1991,1991,"F","6-6",212,"September 2, 1965","University of Minnesota"
"fred cofield",1986,1987,"G","6-3",190,"January 4, 1962","University of Oregon, Eastern Michigan University"
"john coker",1996,2001,"C","7-0",253,"October 28, 1971","Boise State University"
"norris cole",2012,2017,"G","6-2",175,"October 13, 1988","Cleveland State University"
"ben coleman",1987,1994,"F","6-9",235,"November 14, 1961","University of Minnesota, University of Maryland"
"derrick coleman",1991,2005,"F","6-10",230,"June 21, 1967","Syracuse University"
"ec coleman",1974,1979,"F","6-8",225,"September 25, 1950","Houston Baptist University"
"jack coleman",1950,1958,"F-C","6-7",195,"May 23, 1924","University of Louisville"
"norris coleman",1988,1988,"F","6-8",210,"September 27, 1961","Kansas State University"
"bimbo coles",1991,2004,"G","6-1",180,"April 22, 1968","Virginia Polytechnic Institute and State University"
"jason collier",2001,2005,"C","7-0",260,"September 8, 1977","Indiana University, Georgia Institute of Technology"
"art collins",1981,1981,"G","6-4",185,"April 14, 1954","St. Thomas University"
"don collins",1981,1987,"F-G","6-6",190,"November 28, 1958","Washington State University"
"doug collins",1974,1981,"G-F","6-6",180,"July 28, 1951","Illinois State University"
"james collins",1998,1998,"G","6-4",196,"November 5, 1973","Florida State University"
"jarron collins",2002,2011,"F-C","6-11",255,"December 2, 1978","Stanford University"
"jason collins",2002,2014,"C","7-0",255,"December 2, 1978","Stanford University"
"jimmy collins",1971,1972,"G","6-2",175,"November 24, 1946","New Mexico State University"
"john collins",2018,2018,"F","6-10",235,"September 23, 1997","Wake Forest University"
"mardy collins",2007,2010,"G","6-6",220,"August 4, 1984","Temple University"
"sherron collins",2011,2011,"G","5-11",205,"March 18, 1987","University of Kansas"
"zach collins",2018,2018,"C-F","7-0",232,"November 19, 1997","Gonzaga University"
"kyle collinsworth",2018,2018,"G-F","6-6",210,"October 3, 1991","Brigham Young University"
"darren collison",2010,2018,"G","6-0",175,"August 23, 1987","University of California, Los Angeles"
"nick collison",2005,2018,"F","6-10",255,"October 26, 1980","University of Kansas"
"joe colone",1949,1949,"F","6-5",210,"January 23, 1924","Bloomsburg University of Pennsylvania"
"sean colson",2001,2001,"G","6-0",175,"July 1, 1975","University of Rhode Island, University of North Carolina at Charlotte"
"steve colter",1985,1995,"G","6-3",165,"July 24, 1962","New Mexico State University"
"glen combs",1969,1975,"G","6-2",185,"October 30, 1946","Virginia Polytechnic Institute and State University"
"leroy combs",1984,1984,"F","6-8",210,"January 1, 1961","Oklahoma State University"
"john comeaux",1968,1968,"F","6-5",193,"September 15, 1943","Grambling State University"
"dallas comegys",1988,1989,"F","6-9",205,"August 17, 1964","DePaul University"
"larry comley",1964,1964,"G","6-5",210,"August 17, 1939","Kansas State University"
"jeffrey congdon",1968,1972,"G","6-1",180,"October 17, 1943","Brigham Young University"
"gene conley",1953,1964,"C-F","6-8",225,"November 10, 1930","Washington State University"
"larry conley",1968,1968,"G","6-3",175,"January 22, 1944","University of Kentucky"
"mike conley",2008,2018,"G","6-1",175,"October 11, 1987","Ohio State University"
"ed conlin",1956,1962,"F-G","6-5",200,"September 2, 1933","Fordham University"
"marty conlon",1992,2000,"F-C","6-10",224,"January 19, 1968","Providence College"
"pat connaughton",2016,2018,"G","6-5",206,"January 6, 1993","University of Notre Dame"
"jimmy conner",1976,1976,"G","6-4",190,"March 20, 1953","University of Kentucky"
"lester conner",1983,1995,"G","6-4",180,"September 17, 1959","Oregon State University"
"chuck connors",1947,1948,"F-C","6-5",190,"April 10, 1921","Seton Hall University"
"will conroy",2007,2013,"G","6-2",195,"December 8, 1982","University of Washington"
"anthony cook",1991,1996,"F-C","6-9",205,"March 19, 1967","University of Arizona"
"bert cook",1955,1955,"G-F","6-3",185,"April 26, 1929","Utah State University"
"bobby cook",1950,1950,"G-F","5-10",155,"April 1, 1923","University of Wisconsin"
"brian cook",2004,2012,"F","6-9",234,"December 4, 1980","University of Illinois at Urbana-Champaign"
"daequan cook",2008,2013,"G","6-5",205,"April 28, 1987","Ohio State University"
"darwin cook",1981,1989,"G","6-3",184,"August 6, 1958","University of Portland"
"jeff cook",1980,1988,"F-C","6-10",215,"October 21, 1956","Idaho State University"
"norm cook",1977,1978,"F","6-8",210,"March 21, 1955","University of Kansas"
"omar cook",2004,2005,"G","6-1",190,"January 28, 1982","St. John's University"
"quinn cook",2017,2018,"G","6-2",184,"March 23, 1993","Duke University"
"charles cooke",2018,2018,"G","6-5",196,"July 1, 1994","University of Dayton"
"david cooke",1986,1986,"F","6-8",230,"September 27, 1963","Saint Mary's College of California"
"joe cooke",1971,1971,"G","6-3",175,"August 14, 1948","Indiana University"
"jack cooley",2015,2018,"F-C","6-9",260,"April 4, 1991","University of Notre Dame"
"chuck cooper",1951,1956,"F","6-5",210,"September 29, 1926","Duquesne University"
"duane cooper",1993,1994,"G","6-1",185,"June 25, 1969","University of Southern California"
"joe cooper",1982,1985,"C-F","6-10",230,"September 1, 1957","Howard University, University of Tulsa, University of Colorado"
"michael cooper",1979,1990,"G-F","6-5",170,"April 15, 1956","University of New Mexico"
"wayne cooper",1979,1992,"C-F","6-10",220,"November 16, 1956","University of New Orleans"
"tom copa",1992,1992,"C","6-10",275,"October 30, 1964","Marquette University"
"chris copeland",2013,2016,"F","6-9",239,"March 17, 1984","University of Colorado"
"hollis copeland",1980,1982,"F","6-6",180,"December 20, 1955","Rutgers University"
"lanard copeland",1990,1992,"G","6-6",190,"July 16, 1965","Georgia State University"
"tyrone corbin",1986,2001,"G-F","6-6",210,"December 31, 1962","DePaul University"
"chris corchiani",1992,1994,"G","6-0",185,"March 28, 1968","North Carolina State University"
"ken corley",1947,1947,"C","6-5",210,"","Oklahoma State Teachers College"
"ray corley",1950,1953,"G","6-0",180,"January 1, 1928","Georgetown University"
"dave corzine",1979,1991,"C","6-11",250,"April 25, 1956","DePaul University"
"larry costello",1955,1968,"G","6-1",186,"July 2, 1931","Niagara University"
"matt costello",2018,2018,"F","6-9",245,"August 5, 1993","Michigan State University"
"bryce cotton",2015,2016,"G","6-1",165,"August 11, 1992","Providence College"
"jack cotton",1950,1950,"F-C","6-7",200,"October 25, 1924","University of Wyoming"
"james cotton",1998,1999,"G","6-5",220,"December 14, 1975","California State University, Long Beach"
"john coughran",1980,1980,"F","6-7",225,"September 12, 1951","University of California"
"mel counts",1965,1976,"C-F","7-0",230,"October 16, 1941","Oregon State University"
"steve courtin",1965,1965,"G","6-1",188,"September 21, 1942","Saint Joseph's University"
"joe courtney",1993,1997,"F","6-8",235,"October 17, 1969","Mississippi State University, University of Southern Mississippi"
"marcus cousin",2011,2011,"C","6-11",245,"December 18, 1986","Seton Hall University, University of Houston"
"demarcus cousins",2011,2018,"C-F","6-11",270,"August 13, 1990","University of Kentucky"
"bob cousy",1951,1970,"G","6-1",175,"August 9, 1928","College of the Holy Cross"
"robert covington",2014,2018,"F","6-9",215,"December 14, 1990","Tennessee State University"
"dave cowens",1971,1983,"C-F","6-9",230,"October 25, 1948","Florida State University"
"chubby cox",1983,1983,"G","6-2",180,"December 29, 1955","Villanova University, University of San Francisco"
"johnny cox",1963,1963,"G","6-4",180,"November 1, 1936","University of Kentucky"
"wesley cox",1978,1979,"F","6-6",215,"January 27, 1955","University of Louisville"
"allen crabbe",2014,2018,"G-F","6-6",210,"April 9, 1992","University of California"
"torrey craig",2018,2018,"G-F","6-6",215,"December 19, 1990","University of South Carolina Upstate"
"chris crawford",1998,2004,"F","6-9",235,"May 13, 1975","Marquette University"
"freddie crawford",1967,1971,"G-F","6-4",189,"December 23, 1941","St. Bonaventure University"
"jamal crawford",2001,2018,"G","6-5",200,"March 20, 1980","University of Michigan"
"joe crawford",2009,2009,"F","6-5",210,"June 17, 1986","University of Kentucky"
"jordan crawford",2011,2018,"G","6-4",195,"October 23, 1988","Indiana University, Xavier University"
"jim creighton",1976,1976,"F","6-8",200,"April 18, 1950","University of Colorado"
"ron crevier",1986,1986,"C","7-0",235,"April 14, 1958","Boston College"
"hal crisler",1947,1947,"F","6-3",215,"December 31, 1923","Iowa State University"
"joe crispin",2002,2002,"G","6-0",185,"July 18, 1979","Pennsylvania State University"
"charlie criss",1978,1985,"G","5-8",165,"November 6, 1948","New Mexico State University"
"russell critchfield",1969,1969,"G","5-10",150,"June 27, 1946","University of California"
"winston crite",1988,1989,"F","6-7",233,"June 20, 1965","Texas A&M University"
"javaris crittenton",2008,2009,"G","6-5",200,"December 31, 1987","Georgia Institute of Technology"
"dillard crocker",1949,1953,"F-G","6-4",205,"January 19, 1925","Western Michigan University"
"bobby croft",1971,1971,"C","6-10",200,"March 17, 1946","University of Tennessee"
"geoff crompton",1979,1984,"C","6-11",280,"July 4, 1955","University of North Carolina"
"terry crosby",1980,1980,"G","6-4",195,"January 4, 1957","University of Tennessee"
"austin croshere",1998,2009,"F","6-9",235,"May 1, 1975","Providence College"
"jeff cross",1986,1986,"F","6-10",240,"September 1, 1961","University of Maine"
"pete cross",1971,1973,"C-F","6-9",230,"March 28, 1948","University of San Francisco"
"russell cross",1984,1984,"C","6-10",215,"September 5, 1961","Purdue University"
"chink crossin",1948,1950,"G","6-1",165,"July 4, 1923","University of Pennsylvania"
"john crotty",1993,2003,"G","6-1",185,"July 15, 1969","University of Virginia"
"bill crow",1968,1968,"G","6-1",180,"December 9, 1940","Westminster College of Utah"
"mark crow",1978,1978,"F","6-7",210,"October 22, 1954","Duke University"
"corey crowder",1992,1995,"G-F","6-5",214,"April 13, 1969","Kentucky Wesleyan College"
"jae crowder",2013,2018,"F","6-6",235,"July 6, 1990","Marquette University"
"al cueto",1970,1971,"C-F","6-7",230,"August 2, 1946","University of Tulsa"
"pat cummings",1980,1991,"F-C","6-9",230,"July 11, 1956","University of Cincinnati"
"terry cummings",1983,2000,"F","6-9",220,"March 15, 1961","DePaul University"
"vonteego cummings",2000,2002,"G","6-3",185,"February 29, 1976","University of Pittsburgh"
"billy cunningham",1966,1976,"F-C","6-6",210,"June 3, 1943","University of North Carolina"
"dante cunningham",2010,2018,"F","6-8",230,"April 22, 1987","Villanova University"
"dick cunningham",1969,1975,"C","6-10",245,"July 11, 1946","Murray State University"
"jared cunningham",2013,2016,"G","6-4",195,"May 22, 1991","Oregon State University"
"william cunningham",1998,1999,"C","6-11",250,"March 25, 1974","Temple University"
"radisav curcic",1993,1993,"C","6-10",275,"September 26, 1965",""
"armand cure",1947,1947,"F","6-0",198,"August 1, 1919","University of Rhode Island"
"earl cureton",1981,1997,"F-C","6-9",210,"September 3, 1957","Robert Morris University (PA), University of Detroit Mercy"
"bill curley",1995,2001,"F","6-9",220,"May 29, 1972","Boston College"
"fran curran",1949,1950,"G","6-0",175,"September 9, 1922","University of Notre Dame"
"dell curry",1987,2002,"G","6-4",190,"June 25, 1964","Virginia Polytechnic Institute and State University"
"eddy curry",2002,2013,"C","7-0",295,"December 5, 1982",""
"jameson curry",2010,2010,"G","6-3",190,"January 7, 1986","Oklahoma State University"
"michael curry",1994,2005,"F-G","6-5",210,"August 22, 1968","Georgia Southern University"
"seth curry",2014,2017,"G","6-2",185,"August 23, 1990","Liberty University, Duke University"
"stephen curry",2010,2018,"G","6-3",190,"March 14, 1988","Davidson College"
"rastko cvetkovic",1996,1996,"C","7-1",260,"June 22, 1970",""
"mike dantoni",1974,1977,"G","6-3",185,"May 8, 1951","Marshall University"
"mike dabich",1968,1968,"C","7-0",242,"December 27, 1942","New Mexico State University"
"ed dahler",1952,1952,"F","6-5",190,"January 31, 1926","Duquesne University"
"quintin dailey",1983,1992,"G","6-3",180,"January 22, 1961","University of San Francisco"
"samuel dalembert",2002,2015,"C","6-11",255,"May 10, 1981","Seton Hall University"
"howie dallmar",1947,1949,"F","6-4",200,"May 24, 1922","Stanford University"
"erick dampier",1997,2012,"C","6-11",265,"July 14, 1975","Mississippi State University"
"louie dampier",1968,1979,"G","6-0",170,"November 20, 1944","University of Kentucky"
"bob dandridge",1970,1982,"F-G","6-6",195,"November 15, 1947","Norfolk State University"
"antonio daniels",1998,2011,"G","6-4",195,"March 19, 1975","Bowling Green State University"
"erik daniels",2005,2005,"F","6-8",214,"April 1, 1982","University of Kentucky"
"lloyd daniels",1993,1998,"G","6-7",205,"September 4, 1967","Mount San Antonio College"
"marquis daniels",2004,2013,"G-F","6-6",200,"January 7, 1981","Auburn University"
"mel daniels",1968,1977,"C","6-9",220,"July 20, 1944","University of New Mexico"
"troy daniels",2014,2018,"G","6-4",205,"July 15, 1991","Virginia Commonwealth University"
"sasha danilovic",1996,1997,"G","6-5",200,"February 26, 1970",""
"adrian dantley",1977,1991,"F-G","6-5",208,"February 28, 1956","University of Notre Dame"
"pete darcey",1953,1953,"C","6-7",217,"March 3, 1930","Oklahoma State University"
"jimmy darden",1950,1950,"G","6-1",170,"June 19, 1922","University of Denver"
"ollie darden",1968,1970,"F-C","6-7",235,"July 28, 1944","University of Michigan"
"yinka dare",1995,1998,"C","7-0",265,"October 10, 1972","George Washington University"
"jesse dark",1975,1975,"G","6-5",210,"September 2, 1951","Virginia Commonwealth University"
"rick darnell",1976,1976,"C-F","6-10",215,"January 1, 1953","San Jose State University"
"jimmy darrow",1962,1962,"G","5-10",170,"September 25, 1937","Bowling Green State University"
"luigi datome",2014,2015,"F","6-8",215,"November 27, 1987",""
"brad daugherty",1987,1994,"C","7-0",245,"October 19, 1965","University of North Carolina"
"mack daughtry",1971,1971,"G","6-3",175,"","Albany State University"
"kornel david",1999,2001,"F","6-9",235,"October 22, 1971",""
"jermareo davidson",2008,2009,"F","6-10",230,"November 15, 1984","University of Alabama"
"bob davies",1949,1955,"G-F","6-1",175,"January 15, 1920","Seton Hall University"
"brandon davies",2014,2015,"F","6-10",240,"July 25, 1991","Brigham Young University"
"anthony davis",2013,2018,"F-C","6-10",253,"March 11, 1993","University of Kentucky"
"antonio davis",1994,2006,"F-C","6-9",215,"October 31, 1968","University of Texas at El Paso"
"aubrey davis",1947,1947,"G-F","6-2",175,"March 28, 1921","Oklahoma Baptist University"
"baron davis",2000,2012,"G","6-3",209,"April 13, 1979","University of California, Los Angeles"
"ben davis",1997,2000,"F","6-9",240,"December 26, 1972","University of Kansas, University of Arizona"
"bill davis",1947,1947,"F","6-3",215,"October 3, 1920","University of Notre Dame"
"bob davis",1973,1973,"F","6-7",215,"April 2, 1950","Weber State University"
"brad davis",1978,1992,"G","6-3",180,"December 17, 1955","University of Maryland"
"brian davis",1994,1994,"F-G","6-7",200,"June 21, 1970","Duke University"
"charles davis",1982,1990,"F","6-7",215,"October 5, 1958","Vanderbilt University"
"charlie davis",1972,1974,"G","6-2",160,"September 7, 1949","Wake Forest University"
"dale davis",1992,2007,"F-C","6-11",230,"March 25, 1969","Clemson University"
"deyonta davis",2017,2018,"F-C","6-11",237,"December 2, 1996","Michigan State University"
"dwight davis",1973,1977,"F","6-8",220,"October 28, 1949","University of Houston"
"ed davis",2011,2018,"F","6-10",240,"June 5, 1989","University of North Carolina"
"emanual davis",1997,2003,"G","6-4",195,"August 27, 1968","Delaware State University"
"glen davis",2008,2015,"F-C","6-9",289,"January 1, 1986","Louisiana State University"
"harry davis",1979,1980,"F","6-7",220,"January 27, 1956","Florida State University"
"hubert davis",1993,2004,"G","6-5",183,"May 17, 1970","University of North Carolina"
"jim davis",1968,1975,"C-F","6-9",225,"December 18, 1941","University of Colorado"
"johnny davis",1977,1986,"G","6-2",170,"October 21, 1955","University of Dayton"
"josh davis",2004,2012,"F","6-8",235,"August 10, 1980","University of Wyoming"
"lee davis",1969,1976,"C-F","6-8",235,"October 11, 1945","North Carolina Central University"
"mark davis",1989,1989,"F-G","6-6",195,"June 8, 1963","Old Dominion University"
"mark davis",1996,2000,"G-F","6-7",210,"April 26, 1973","Howard College, Texas Tech University"
"mel davis",1974,1977,"F","6-6",220,"November 9, 1950","St. John's University"
"mickey davis",1972,1977,"F-G","6-7",195,"June 16, 1950","Duquesne University"
"mike davis",1970,1973,"G","6-3",185,"July 26, 1946","Virginia Union University"
"mike davis",1983,1983,"F","6-10",230,"August 2, 1956","University of Maryland"
"monti davis",1981,1981,"F","6-7",205,"July 26, 1958","Tennessee State University"
"paul davis",2007,2010,"C","6-11",270,"July 21, 1984","Michigan State University"
"ralph davis",1961,1962,"G","6-4",180,"September 7, 1938","University of Cincinnati"
"red davis",1956,1956,"C","6-7",220,"April 22, 1932","St. John's University"
"ricky davis",1999,2010,"G","6-6",195,"September 23, 1979","University of Iowa"
"ron davis",1977,1982,"G-F","6-6",198,"May 1, 1954","Washington State University"
"terry davis",1990,2001,"F-C","6-9",225,"June 17, 1967","Virginia Union University"
"walt davis",1954,1958,"C-F","6-8",205,"January 5, 1931","Texas A&M University"
"walter davis",1978,1992,"G-F","6-6",193,"September 9, 1954","University of North Carolina"
"warren davis",1968,1973,"F-C","6-6",212,"June 30, 1943","North Carolina Agricultural and Technical State University"
"willie davis",1971,1971,"C","6-8",234,"August 9, 1945","University of North Texas"
"andre dawkins",2015,2015,"G","6-5",215,"September 19, 1991","Duke University"
"darryl dawkins",1976,1989,"C","6-11",251,"January 11, 1957",""
"johnny dawkins",1987,1995,"G","6-2",165,"September 28, 1963","Duke University"
"paul dawkins",1980,1980,"F","6-5",190,"June 10, 1957","Northern Illinois University"
"branden dawson",2016,2016,"F","6-6",225,"February 1, 1993","Michigan State University"
"eric dawson",2012,2012,"F","6-9",250,"July 7, 1984","Midwestern State University"
"jimmy dawson",1968,1968,"G","6-0",175,"April 18, 1945","University of Illinois at Urbana-Champaign"
"tony dawson",1991,1995,"F","6-7",215,"August 25, 1967","Florida State University"
"todd day",1993,2001,"G-F","6-6",188,"January 7, 1970","University of Arkansas"
"austin daye",2010,2015,"F","6-11",220,"June 5, 1988","Gonzaga University"
"darren daye",1984,1988,"F-G","6-8",220,"November 30, 1960","University of California, Los Angeles"
"nando de colo",2013,2014,"G","6-5",200,"June 23, 1987",""
"greg deane",1980,1980,"G","6-4",190,"December 6, 1957","University of Utah"
"billy deangelis",1971,1971,"G","6-1",180,"October 5, 1946","Saint Joseph's University"
"dave debusschere",1963,1974,"F-G","6-6",220,"October 16, 1940","University of Detroit Mercy"
"andrew declercq",1996,2005,"F-C","6-10",230,"February 1, 1973","University of Florida"
"dewayne dedmon",2014,2018,"C","7-0",245,"August 12, 1989","University of Southern California"
"don dee",1969,1969,"F","6-8",210,"August 9, 1943","Saint Mary of the Plains College"
"archie dees",1959,1962,"F-C","6-8",205,"February 22, 1936","Indiana University"
"terry dehere",1994,1999,"G","6-2",190,"September 12, 1971","Seton Hall University"
"red dehnert",1947,1947,"F","6-3",175,"January 24, 1924","Columbia University"
"bryce dejean jones",2016,2016,"G","6-6",209,"August 21, 1992","University of Southern California, University of Nevada, Las Vegas, Iowa State University"
"sam dekker",2016,2018,"F","6-9",230,"May 6, 1994","University of Wisconsin"
"vinny del negro",1989,2002,"G","6-4",185,"August 9, 1966","North Carolina State University"
"malcolm delaney",2017,2018,"G","6-3",190,"March 11, 1989","Virginia Polytechnic Institute and State University"
"bison dele",1992,1999,"F-C","6-9",235,"April 6, 1969","University of Maryland, University of Arizona"
"carlos delfino",2005,2013,"G","6-6",230,"August 29, 1982",""
"tony delk",1997,2006,"G","6-1",189,"January 28, 1974","University of Kentucky"
"matthew dellavedova",2014,2018,"G","6-4",198,"September 8, 1990","Saint Mary's College of California"
"nate delong",1952,1952,"C","6-6",220,"January 5, 1926","University of Wisconsin-River Falls"
"fennis dembo",1989,1989,"F","6-5",215,"January 24, 1966","University of Wyoming"
"larry demic",1980,1982,"F-C","6-9",225,"June 27, 1957","University of Arizona"
"dell demps",1994,1997,"G","6-3",205,"February 12, 1970","University of the Pacific"
"george dempsey",1955,1959,"G","6-2",190,"July 19, 1929","King's College"
"luol deng",2005,2018,"F","6-9",220,"April 16, 1985","Duke University"
"kenny dennard",1982,1984,"F","6-8",220,"October 18, 1958","Duke University"
"blaine denning",1953,1953,"G","6-2",175,"September 19, 1930","Lawrence Technological University"
"justin dentmon",2012,2013,"G","5-11",185,"September 5, 1985","University of Washington"
"randy denton",1972,1977,"C","6-10",240,"February 18, 1949","Duke University"
"joe depre",1971,1973,"G","6-3",185,"December 19, 1947","St. John's University"
"rod derline",1975,1976,"G","6-0",175,"March 11, 1952","Seattle University"
"demar derozan",2010,2018,"G-F","6-7",221,"August 7, 1989","University of Southern California"
"dave deutsch",1967,1967,"G","6-1",170,"May 13, 1945","University of Rochester"
"corky devlin",1956,1958,"G","6-5",195,"December 21, 1931","George Washington University"
"hank dezonie",1951,1951,"C-F","6-6",215,"February 12, 1922","Clark Atlanta University"
"derrick dial",2000,2004,"G","6-4",184,"December 20, 1975","Eastern Michigan University"
"cheick diallo",2017,2018,"F","6-9",220,"September 13, 1996","University of Kansas"
"boris diaw",2004,2017,"F-C","6-8",250,"April 16, 1982",""
"yakhouba diawara",2007,2010,"G-F","6-7",225,"August 29, 1982","Pepperdine University"
"guillermo diaz",2008,2008,"G","6-2",192,"March 4, 1985","University of Miami"
"dan dickau",2003,2008,"G","6-0",190,"September 16, 1978","University of Washington, Gonzaga University"
"kaniel dickens",2004,2008,"F","6-8",215,"July 21, 1978","Tyler Junior College, University of Idaho"
"henry dickerson",1976,1977,"G","6-4",190,"November 27, 1951","University of Charleston"
"michael dickerson",1999,2003,"G-F","6-5",190,"June 25, 1975","University of Arizona"
"clyde dickey",1975,1975,"G","6-3",185,"December 14, 1951","Boise State University"
"derrek dickey",1974,1978,"F","6-7",218,"March 20, 1951","University of Cincinnati"
"dick dickey",1952,1952,"G","6-1",175,"October 26, 1926","North Carolina State University"
"john dickson",1968,1968,"C","6-10",240,"November 18, 1945","Arkansas State University"
"travis diener",2006,2010,"G","6-1",175,"March 1, 1982","Marquette University"
"gorgui dieng",2014,2018,"C","6-11",241,"January 18, 1990","University of Louisville"
"connie dierking",1959,1971,"C-F","6-9",222,"October 2, 1936","University of Cincinnati"
"coby dietrick",1971,1983,"C-F","6-10",220,"July 23, 1948","San Jose State University"
"ernie digregorio",1974,1978,"G","6-0",180,"January 15, 1951","Providence College"
"craig dill",1968,1968,"C","6-11",215,"December 17, 1944","University of Michigan"
"dwaine dillard",1976,1976,"F","6-6",230,"March 9, 1949","Eastern Michigan University"
"mickey dillard",1982,1982,"G","6-3",170,"October 15, 1958","Florida State University"
"bob dille",1947,1947,"F","6-3",190,"July 2, 1917","Valparaiso University"
"hook dillon",1950,1950,"F","6-3",180,"January 8, 1924","University of North Carolina"
"byron dinkins",1990,1991,"G","6-1",170,"June 15, 1967","University of North Carolina at Charlotte"
"jackie dinkins",1972,1972,"F","6-5",210,"January 22, 1950","Voorhees College"
"harry dinnel",1968,1968,"F-G","6-4",200,"October 9, 1940","Pepperdine University"
"bill dinwiddie",1968,1972,"F","6-7",220,"July 15, 1943","New Mexico Highlands University"
"spencer dinwiddie",2015,2018,"G","6-6",200,"April 6, 1993","University of Colorado"
"ike diogu",2006,2012,"F","6-8",250,"September 11, 1983","Arizona State University"
"desagana diop",2002,2013,"C","7-0",300,"January 30, 1982",""
"terry dischinger",1963,1973,"F-G","6-7",189,"November 21, 1940","Purdue University"
"fred diute",1955,1955,"G","6-3",210,"January 9, 1929","St. Bonaventure University"
"vlade divac",1990,2005,"C","7-1",243,"February 3, 1968",""
"juan dixon",2003,2009,"G","6-3",164,"October 9, 1978","University of Maryland"
"aleksandar djordjevic",1997,1997,"G","6-2",198,"August 26, 1967",""
"earl dodd",1950,1950,"F","6-5",175,"November 1, 1924","Truman State University"
"michael doleac",1999,2008,"C","6-11",262,"June 15, 1977","University of Utah"
"joe dolhon",1950,1951,"G","6-0",175,"July 9, 1927","New York University"
"bob doll",1947,1950,"F-C","6-5",195,"August 10, 1919","University of Colorado"
"james donaldson",1981,1995,"C","7-2",275,"August 16, 1957","Washington State University"
"bob donham",1951,1954,"G-F","6-2",190,"October 11, 1926","Ohio State University"
"billy donovan",1988,1988,"G","5-11",171,"May 30, 1965","Providence College"
"harry donovan",1950,1950,"G","6-2",180,"September 10, 1926","Muhlenberg College"
"keyon dooling",2001,2013,"G","6-3",196,"May 8, 1980","University of Missouri"
"jacky dorsey",1978,1981,"F","6-7",230,"December 18, 1954","University of Georgia"
"joey dorsey",2009,2015,"F","6-8",268,"December 16, 1983","University of Memphis"
"ron dorsey",1972,1972,"F","6-4",200,"October 10, 1948","Tennessee State University"
"tyler dorsey",2018,2018,"G","6-5",183,"February 14, 1996","University of Oregon"
"damyean dotson",2018,2018,"G","6-6",205,"May 6, 1994","University of Oregon, University of Houston"
"quincy douby",2007,2009,"G","6-3",175,"May 16, 1984","Rutgers University"
"bruce douglas",1987,1987,"G","6-3",195,"April 9, 1964","University of Illinois at Urbana-Champaign"
"john douglas",1982,1983,"G","6-2",170,"June 12, 1956","University of Kansas"
"leon douglas",1977,1983,"C-F","6-10",230,"August 26, 1954","University of Alabama"
"sherman douglas",1990,2001,"G","6-0",180,"September 15, 1966","Syracuse University"
"toney douglas",2010,2017,"G","6-2",195,"March 16, 1986","Auburn University, Florida State University"
"chris douglas roberts",2009,2015,"G","6-7",200,"January 8, 1987","University of Memphis"
"sonny dove",1968,1972,"F","6-7",198,"August 16, 1945","St. John's University"
"jerry dover",1972,1972,"G","5-7",155,"October 16, 1949","LeMoyne-Owen College"
"zabian dowdell",2011,2011,"G","6-3",191,"September 10, 1984","Virginia Polytechnic Institute and State University"
"bill downey",1948,1948,"C","6-6",210,"November 11, 1923","Marquette University"
"steve downing",1974,1975,"C","6-8",225,"September 9, 1950","Indiana University"
"danny doyle",1963,1963,"F","6-8",200,"February 6, 1940","Belmont Abbey College"
"milton doyle",2018,2018,"G","6-4",185,"October 31, 1993","Loyola University of Chicago"
"pj dozier",2018,2018,"G","6-7",201,"October 25, 1996","University of South Carolina"
"terry dozier",1990,1990,"F","6-9",210,"June 29, 1966","University of South Carolina"
"goran dragic",2009,2018,"G","6-3",190,"May 6, 1986",""
"zoran dragic",2015,2015,"G-F","6-5",200,"June 22, 1989",""
"greg dreiling",1987,1997,"C","7-1",250,"November 7, 1962","Wichita State University, University of Kansas"
"bryce drew",1999,2004,"G","6-2",185,"September 21, 1974","Valparaiso University"
"john drew",1975,1985,"F-G","6-6",205,"September 30, 1954","Gardner-Webb University"
"larry drew",1981,1991,"G","6-1",170,"April 2, 1958","University of Missouri"
"larry drew",2015,2018,"G","6-2",180,"March 5, 1990","University of North Carolina, University of California, Los Angeles"
"clyde drexler",1984,1998,"G","6-7",210,"June 22, 1962","University of Houston"
"nate driggers",1997,1997,"G","6-5",215,"October 12, 1973","University of Montevallo"
"terry driscoll",1971,1975,"F","6-7",215,"August 28, 1947","Boston College"
"predrag drobnjak",2002,2005,"C","6-11",270,"October 27, 1975",""
"ralph drollinger",1981,1981,"C","7-2",250,"April 20, 1954","University of California, Los Angeles"
"andre drummond",2013,2018,"C","6-11",279,"August 10, 1993","University of Connecticut"
"dick duckett",1958,1958,"G","6-1",185,"March 25, 1933","St. John's University"
"kevin duckworth",1987,1997,"C","7-0",275,"April 1, 1964","Eastern Illinois University"
"charles dudley",1973,1979,"G","6-2",180,"March 5, 1950","University of Washington"
"chris dudley",1988,2003,"C","6-11",235,"February 22, 1965","Yale University"
"jared dudley",2008,2018,"F-G","6-7",225,"July 10, 1985","Boston College"
"terry duerod",1980,1983,"G","6-2",180,"July 29, 1956","University of Detroit Mercy"
"bob duffy",1947,1947,"F","6-4",175,"July 5, 1922","Tulane University"
"bob duffy",1963,1965,"G","6-3",185,"September 26, 1940","Colgate University"
"chris duhon",2005,2013,"G","6-1",185,"August 31, 1982","Duke University"
"duje dukan",2016,2016,"F","6-9",220,"December 4, 1991","University of Wisconsin"
"walter dukes",1956,1963,"C","7-0",220,"June 23, 1930","Seton Hall University"
